id,filename
835,Eggs of Steel - Charlie's Eggcellent Adventure (USA)
836,Battle Stations (USA)
837,Madden NFL 2000 (USA)
838,NBA ShootOut 98 (USA)
839,Dragon Ball Z - Ultimate Battle 22 (USA)
840,"Formula 1 98 (Europe) (En,Fr,De,Es,It,Fi) (Rev 1)"
841,"Creatures (Europe) (En,Fr,De,Es,It)"
842,"Assault (Europe) (En,Fr,De,Es,It)"
843,Treasures of the Deep (USA)
844,Euro Demo 76 (Europe)
845,Euro Demo (Future) 106 (Europe)
846,X-Men - Mutant Academy 2 (Europe)
847,Tomb Raider II - Starring Lara Croft (Germany)
848,Tomb Raider III - Adventures of Lara Croft (Germany) (Rev 1)
849,"Harry Potter and the Philosopher's Stone (Europe) (En,Fr,De)"
853,Cool Boarders 3 (USA)
854,Grind Session (USA)
855,Madden NFL 2001 (USA)
857,"Crime Killer (Europe) (En,Fr,De,Es,It)"
858,Twisted Metal 4 (USA) (Rev 1)
859,"Saban's Power Rangers - Lightspeed Rescue (Europe, Australia) (En,Fr,De)"
860,Wer wird Millionaer (Germany)
861,Who Wants to Be a Millionaire - 2nd Edition (USA)
862,"FIFA 99 (Germany) (En,Fr,De,Es,Nl,Sv)"
863,Kensei - Sacred Fist (Europe)
864,Madden NFL 99 (USA)
865,Nickelodeon SpongeBob SquarePants - SuperSponge (USA)
866,"Final Fantasy VIII (Europe, Australia) (Disc 1)"
867,"Syphon Filter 2 (Europe, Australia) (Disc 1)"
868,Syphon Filter 2 (Europe) (Disc 2)
869,"Fear Effect (Europe) (En,Es,It) (Disc 1)"
870,"Fear Effect (Europe) (En,Es,It) (Disc 2)"
871,"Fear Effect (Europe) (En,Es,It) (Disc 3)"
872,"Fear Effect (Europe) (En,Es,It) (Disc 4)"
873,"Final Fantasy VIII (Europe, Australia) (Disc 3)"
874,"Final Fantasy VIII (Europe, Australia) (Disc 4)"
875,"Final Fantasy VIII (Europe, Australia) (Disc 2)"
876,"Alien Resurrection (Europe) (En,Fr,De,Es,It)"
879,Cool Boarders 3 (Europe)
880,"Eagle One - Harrier Attack (Europe) (En,Fr,De,Es,It)"
881,Road Rash 3D (Europe)
882,"Alien Trilogy (Europe) (En,Fr,Es,It)"
883,"Winter Releases '98 (Europe, Australia) (Rev 1)"
884,"Legend of Kartia (Europe) (En,Fr,De)"
886,Mortal Kombat 4 (Europe)
887,Medal of Honor (Europe)
888,Tomb Raider (Europe)
889,"Ridge Racer Type 4 (Europe) (En,Fr,De,Es,It)"
890,Wu-Tang - Taste the Pain (Europe)
891,Nightmare Creatures (Europe)
892,Alone in the Dark - The New Nightmare (Europe) (Disc 1)
893,Alone in the Dark - The New Nightmare (Europe) (Disc 2)
894,"Die Hard Trilogy (Europe) (En,Fr,De,Es,It,Sv)"
895,Twisted Metal - World Tour (Europe)
896,Rogue Trip - Vacation 2012 (Europe)
897,"CTR - Crash Team Racing (Europe) (En,Fr,De,Es,It,Nl) (EDC)"
903,Toshinden 4 (Europe)
904,"Tiger Woods 99 PGA Tour Golf (Europe) (En,Fr,De,Es,Sv)"
905,Quake II (Europe)
906,Tomb Raider II - Starring Lara Croft (Europe)
907,Spider-Man (Europe)
908,Driver (Europe)
909,Battle Arena Toshinden (Europe)
910,"Theme Park World (Europe) (En,Fr,De,Es,It,Nl,Sv)"
911,"Shrek Treasure Hunt (Europe) (En,Fr,De,Es)"
912,"World Cup 98 (Europe) (En,Fr,De,Es,Nl,Sv,Da)"
913,"V-Rally - 97 Championship Edition (Europe) (En,Fr,De)"
914,"Carmageddon (Europe) (En,Fr,Es,It)"
915,"Inspector Gadget - Gadget's Crazy Maze (Europe) (En,Fr,De,Es,It,Nl)"
922,Ridge Racer (Europe)
923,Ridge Racer Revolution (Europe)
924,"Formula 1 (Europe) (En,Fr,De,Es,It)"
927,Tomb Raider III - Adventures of Lara Croft (Europe)
928,WCW-nWo Thunder (Europe)
929,Air Combat (Europe)
930,Running Wild (Europe)
931,Mickey's Wild Adventure (Europe)
932,Destruction Derby 2 (Europe)
933,Blade (Europe)
934,Duke Nukem (Europe)
935,"S.C.A.R.S. (Europe) (En,Fr,De,Es,It)"
